Date,ExchangeRate,CurrencyCode
2023-02-02,8.6183,HKD
2023-02-02,1.9558,BGN
2023-02-02,7.3878,CNY
2023-02-02,90.3015,INR
2023-02-02,16360.6900,IDR
2023-02-02,387.2000,HUF
2023-02-02,5.4859,BRL
2023-02-03,0.8925,GBP
2023-02-03,5.5414,BRL
2023-02-03,0.9989,CHF
2023-02-03,1.9558,BGN
2023-02-03,16312.7000,IDR
2023-02-03,1.4616,CAD
2023-02-03,89.5920,INR
2023-02-03,386.5800,HUF
2023-02-03,1.5499,AUD
2023-02-03,153.7000,ISK
2023-02-03,7.3689,CNY
2023-02-03,23.7250,CZK
2023-02-03,7.4443,DKK
2023-02-03,8.5802,HKD
2023-02-03,3.7207,ILS
2023-02-04,0.8925,GBP
2023-02-04,7.4443,DKK
2023-02-04,153.7000,ISK
2023-02-04,1.4616,CAD
2023-02-04,0.9989,CHF
2023-02-04,89.5920,INR
2023-02-04,5.5414,BRL
2023-02-04,386.5800,HUF
2023-02-04,1.9558,BGN
2023-02-04,1.5499,AUD
2023-02-04,3.7207,ILS
2023-02-04,16312.7000,IDR
2023-02-04,8.5802,HKD
2023-02-04,23.7250,CZK
2023-02-04,7.3689,CNY
2023-02-05,7.3689,CNY
2023-02-05,1.4616,CAD
2023-02-05,386.5800,HUF
2023-02-05,8.5802,HKD
2023-02-05,1.5499,AUD
2023-02-05,1.9558,BGN
2023-02-05,0.9989,CHF
2023-02-05,0.8925,GBP
2023-02-05,5.5414,BRL
2023-02-05,3.7207,ILS
2023-02-05,23.7250,CZK
2023-02-05,16312.7000,IDR
2023-02-05,7.4443,DKK
2023-02-05,89.5920,INR
2023-02-05,153.7000,ISK
2023-02-06,3.7338,ILS
2023-02-06,5.5625,BRL
2023-02-06,0.9964,CHF
2023-02-06,8.4539,HKD
2023-02-06,7.3090,CNY
2023-02-06,23.8430,CZK
2023-02-06,89.0922,INR
2023-02-06,1.4459,CAD
2023-02-06,1.9558,BGN
2023-02-06,1.5596,AUD
2023-02-06,0.8928,GBP
2023-02-06,390.8300,HUF
2023-02-06,16338.3600,IDR
2023-02-06,7.4432,DKK
2023-02-06,152.9000,ISK
2023-02-07,394.4000,HUF
2023-02-07,5.5216,BRL
2023-02-07,3.7237,ILS
2023-02-07,0.9906,CHF
2023-02-07,8.3974,HKD
2023-02-07,7.2608,CNY
2023-02-07,152.1000,ISK
2023-02-07,23.8320,CZK
2023-02-07,7.4415,DKK
2023-02-07,1.5470,AUD
2023-02-07,16239.1300,IDR
2023-02-07,1.4371,CAD
2023-02-07,1.9558,BGN
2023-02-07,0.8934,GBP
2023-02-07,88.5096,INR
2023-02-08,0.9881,CHF
2023-02-08,1.4389,CAD
2023-02-08,16227.3900,IDR
2023-02-08,8.4265,HKD
2023-02-08,23.7820,CZK
2023-02-08,88.5940,INR
2023-02-08,3.7408,ILS
